country_name_short	country_name	party_name_short	party_name_english	party_name	party_name_ascii	family_name_short	family_name	left_right	state_market	liberty_authority	eu_anti_pro	cmp	euprofiler	ees	castles_mair	huber_inglehart	ray	benoit_laver	chess	country_id	party_id	family_id
"BEL"	"Belgium"	"Ecolo"	"Confederated ecologists for the organisation of original struggles"	"Écologistes Confédérés pour l'organisation de luttes originales"	"Ecologistes Confederes pour l'organisation de luttes originales"	"eco"	"Green/Ecologist"	2.641	2.3887	1.3744	7.5411	21111.0	23.0	1056111.0	305.0	402.0	104.0	4923.0	104.0	64	161	19.0
"BEL"	"Belgium"	"FDF"	"Francophone Democratic Front"	"Front Démocratique des Francophones"	"Front Democratique des Francophones"	"lib"	"Liberal"	6.1259	6.25	5.8	8.7274	21912.0			306.0	408.0	111.0		111.0	64	969	6.0
"BEL"	"Belgium"	"FN"	"National Front"	"Front National"	"Front National"	"right"	"Right-wing"	9.655	8.0831	9.1382	1.5539			1056710.0				4943.0	115.0	64	171	40.0
"BEL"	"Belgium"	"KLS"	"Cartel of Liberals and Socialists"	"Kartel Liberale en Socialistische"	"Kartel Liberale en Socialistische"	"soc"	"Social democracy"	3.3	3.5	3.5	8.1									64	1335	11.0
"BEL"	"Belgium"	"KPB-PCB"	"Communist Party"	"Kommunistische Partij – Parti Communiste"	"Kommunistische Partij -- Parti Communiste"	"com"	"Communist/Socialist"	1.4	1.4	3.0	4.45				301.0		101.0			64	708	14.0
"BEL"	"Belgium"	"LC"	"Catholics Lists"	"Listes catholiques"	"Listes catholiques"	"chr"	"Christian democracy"	6.2	5.7	7.2	8.3									64	1268	3.0
"BEL"	"Belgium"	"LD"	"List Dedecker"	"Lijst Dedecker"	"Lijst Dedecker"	"lib"	"Liberal"	6.0	6.7	3.5	8.8		14.0	1056600.0					117.0	64	221	6.0
"BEL"	"Belgium"	"LP-PL"	"Liberal Party"	"Liberale Partij – Parti libéral"	"Liberale Partij -- Parti liberal"	"lib"	"Liberal"	6.0	6.7	3.5	8.8	21420.0								64	63	6.0
"BEL"	"Belgium"	"MR"	"Reformist Movement"	"Mouvement Réformateur"	"Mouvement Reformateur"	"lib"	"Liberal"	6.6889	7.1934	4.2102	8.3003	21422.0	22.0	1056427.0	310.0			4983.0	106.0	64	915	6.0
"BEL"	"Belgium"	"N-VA"	"New Flemish Alliance"	"Nieuw-Vlaamse Alliantie"	"Nieuw-Vlaamse Alliantie"	"con"	"Conservative"	6.5321	5.8809	6.06	6.4243	21913.0	15.0	1056913.0	309.0	407.0	110.0	5003.0	110.0	64	501	26.0
"BEL"	"Belgium"	"PA-PTB"	"Workers' Party of Belgium"	"Partij van de Arbeid – Parti du Travail de Belgique"	"Partij van de Arbeid -- Parti du Travail de Belgique"	"com"	"Communist/Socialist"	1.3	1.4	3.0	3.3		17.0	1056222.0					119.0	64	256	14.0
"BEL"	"Belgium"	"PL(B)"	"Liberal Party [Brussels Region]"	"Parti Libéral [Région bruxelloise]"	"Parti Liberal [Region bruxelloise]"	"lib"	"Liberal"	6.0	6.7	3.5	8.8	21424.0								64	640	6.0
"BEL"	"Belgium"	"PRL"	"Liberal Reformist Party"	"Parti Réformateur Libéral"	"Parti Reformateur Liberal"	"lib"	"Liberal"	6.8551	7.2667	4.4381	9.0856	21422.0			310.0	409.0	107.0		106.0	64	454	6.0
"BEL"	"Belgium"	"PS"	"Francophone Socialist Party"	"Parti Socialiste"	"Parti Socialiste"	"soc"	"Social democracy"	2.9307	2.5938	3.1712	8.1465	21322.0	24.0	1056322.0	302.0	403.0	102.0	5023.0	102.0	64	1378	11.0
"BEL"	"Belgium"	"PSC-CDH"	"Francophone Christian Social Party -- Humanist Democratic Centre"	"Parti Social Chrétien – Centre Democrate Humaniste"	"Parti Social Chretien -- Centre Democrate Humaniste"	"chr"	"Christian democracy"	5.4974	5.3711	6.6409	8.7795	21522.0	21.0	1056522.0	308.0	405.0	108.0	4903.0	108.0	64	1192	3.0
"BEL"	"Belgium"	"PSC-CVP"	"Francophone Christian Social Party and Flemish Christian People's Party"	"Parti Social Chrétien – Christelijke Volkspartij"	"Parti Social Chretien -- Christelijke Volkspartij"	"chr"	"Christian democracy"	6.2	5.7	7.2	8.3	21520.0								64	1051	3.0
"BEL"	"Belgium"	"PVV|VLD"	"Party of Liberty and Progress | Flemish Liberals and Democrats"	"Partij voor Vrijheid en Vooruitgang | Vlaamse Liberalen en Democraten"	"Partij voor Vrijheid en Vooruitgang | Vlaamse Liberalen en Democraten"	"lib"	"Liberal"	7.0053	7.7639	3.7139	8.7549	21421.0	16.0	1056421.0	311.0		106.0	5083.0	107.0	64	1110	6.0
"BEL"	"Belgium"	"Pp"	"People's Party"	"Parti populaire"	"Parti populaire"	"con"	"Conservative"	7.4	6.4	6.9	7.8									64	438	26.0
"BEL"	"Belgium"	"ROSSEM"	"Radical Reformers Fighting for an Upright Society"	"Radikale Omvormers Strijdersen Stubbelaars vor Maatschappij"	"Radikale Omvormers Strijdersen Stubbelaars vor Maatschappij"	"lib"	"Liberal"	6.0	6.7	3.5	8.8						113.0			64	748	6.0
"BEL"	"Belgium"	"RW"	"Walloon Rally"	"Rassemblement Wallon"	"Rassemblement Wallon"	"soc"	"Social democracy"	2.6	3.5	3.5	8.1	21911.0			303.0					64	460	11.0
"BEL"	"Belgium"	"RvA-UpD"	"Respect for Labour"	"Respect voor Arbeid en Democratie – Union pour la Democratie et le Respect du Travail"	"Respect voor Arbeid en Democratie -- Union pour la Democratie et le Respect du Travail"	"right"	"Right-wing"	9.2	5.9	8.6	2.4				312.0					64	1440	40.0
"BEL"	"Belgium"	"SP"	"Socialist Party"	"Socialistische Partij"	"Socialistische Partij"	"soc"	"Social democracy"	3.2459	3.0183	3.0805	7.9023	21321.0	18.0	1056327.0	304.0	404.0	103.0	5043.0	103.0	64	1029	11.0
"BEL"	"Belgium"	"SPa+Spi"	"Socialist Party Different / Social Liberal Party"	"Socialistische Partij Anders / Sociaal-Liberale Partij"	"Socialistische Partij Anders / Sociaal-Liberale Partij"	"soc"	"Social democracy"	3.255	3.0183	3.0805	7.6571	21321.0						5043.0	103.0	64	1113	11.0
"BEL"	"Belgium"	"UDB"	"Belgian Democratic Union"	"Union Democratique Belge"	"Union Democratique Belge"	"code"	"to be coded"													64	1181	28.0
"BEL"	"Belgium"	"V"	"Alive"	"Vivant"	"Vivant"	"lib"	"Liberal"	6.0	6.7	3.5	8.8									64	620	6.0
"BEL"	"Belgium"	"VB"	"Flemish Block"	"Vlaams Blok"	"Vlaams Blok"	"right"	"Right-wing"	9.6622	7.695	9.5234	2.7560000000000002	21914.0	19.0	1056711.0	313.0		112.0	5063.0	112.0	64	993	40.0
"BEL"	"Belgium"	"VU"	"People's Union"	"Volksunie"	"Volksunie"	"right"	"Right-wing"	6.5321	5.8809	6.06	6.4243	21913.0			309.0	407.0	110.0	5003.0	110.0	64	290	40.0
"BEL"	"Belgium"	"WOW"	"Growing Old in Dignity"	"Waardig Ouder Worden"	"Growing Old in Dignity"	"right"	"Right-wing"	8.7	5.9	8.6	2.4									64	470	40.0
"BEL"	"Belgium"	"no-seat"	"no seat"	"no seat"	"no seat"	"none"	"no family"													64	2052	12.0
"BEL"	"Belgium"	"one-seat"	"one seat"	"one seat"	"one seat"	"none"	"no family"													64	2300	12.0
"BGR"	"Bulgaria"	"ABV"	"Alternative for Bulgarian Revival"	"Alternativa za balgarsko vazrazhdane"	"Alternativa za balgarsko vazrazhdane"	"soc"	"Social democracy"	3.3	3.5	3.5	8.1									10	2364	11.0
"BGR"	"Bulgaria"	"Ataka"	"Attack"	"Ataka"	"Ataka"	"right"	"Right-wing"	5.46	3.25	9.17	2.4333		27.0	1100700.0					2007.0	10	535	40.0
"BGR"	"Bulgaria"	"BBB"	"Bulgarian Business Bloc"	"Balgarski Biznes Blok"	"Balgarski Biznes Blok"	"lib"	"Liberal"	6.6784	7.0760000000000005	5.1974	7.6842	80901.0				708.0		737.0		10	599	6.0
"BGR"	"Bulgaria"	"BBZ"	"Bulgaria Without Censorship"	"Balgarija bes Zensura"	"Balgarija bes Zensura"	"con"	"Conservative"	7.4	6.4	6.9	7.8									10	2362	26.0
"BGR"	"Bulgaria"	"BE"	"Euro-Left Coalition"	"Balgarska Evrolevica"	"Balgarska Evrolevica"	"soc"	"Social democracy"	3.3	3.5	3.5	8.1	80320.0								10	710	11.0
"BGR"	"Bulgaria"	"BNG"	"Bulgaria for Citizens Movement"	"Dvizhenie \"\"Balgariya na grazhdanite\"\""	"Dvizhenie \"\"Balgariya na grazhdanite\"\""	"con"	"Conservative"	7.4	6.4	6.9	7.8									10	2213	26.0
"BGR"	"Bulgaria"	"BNRP"	"Bulgarian National Radical Party"	"Balgarska Natsionalnoradikalna Partiya"	"Balgarska Natsionalnoradikalna Partiya"	"right"	"Right-wing"	8.7	5.9	8.6	2.4									10	364	40.0
"BGR"	"Bulgaria"	"BNS"	"Bulgarian People's Union"	"Balgarski Naroden Suyuz"	"Balgarski Naroden Suyuz"	"con"	"Conservative"	5.8	6.0	5.44	8.3333	80811.0							2009.0	10	1375	26.0
"BGR"	"Bulgaria"	"BZNS-NP"	"Bulgarian Agrarian National Union -- \"\"Nikola Petkov\"\""	"Balgarski Zemedelski Naroden Suyuz – \"\"Nikola Petkov\"\""	"Balgarski Zemedelski Naroden Suyuz -- \"\"Nikola Petkov\"\""	"agr"	"Agrarian"	5.3	4.9	6.5	5.4									10	2173	2.0
"BGR"	"Bulgaria"	"CSD"	"Center-Freedom and Dignity"	"Center-svoboda i dostojnstvo"	"Center-svoboda i dostojnstvo"	"code"	"to be coded"													10	2595	28.0
"BGR"	"Bulgaria"	"D21"	"Movement 21"	"Dvizhenie 21"	"Dvizhenie 21"	"soc"	"Social democracy"	3.3	3.5	3.5	8.1									10	2379	11.0
"BGR"	"Bulgaria"	"DAR"	"Democratic Alternative for the Republic"	"Demokratichna Alternativa za Republikata"	"Demokratichna Alternativa za Republikata"	"soc"	"Social democracy"	3.3	3.5	3.5	8.1									10	2170	11.0
"BGR"	"Bulgaria"	"DG"	"George's Day Movement"	"Dvizhenie Gergyovden"	"Dvizhenie Gergyovden"	"right"	"Right-wing"	6.3158	6.1053	2.8289	8.3158							920.0		10	1362	40.0
"BGR"	"Bulgaria"	"DPS"	"Movement for Rights and Freedoms"	"Dvizhenie za Prava i Svobodi"	"Dvizhenie za Prava i Svobodi"	"lib"	"Liberal"	4.5828	4.413	6.229	9.0094	80951.0	31.0	1100900.0				894.0	2004.0	10	1286	6.0
"BGR"	"Bulgaria"	"DSB"	"Democrats for a Strong Bulgaria"	"Demokrati za Silna Balgariya"	"Demokrati za Silna Balgariya"	"con"	"Conservative"	7.85	7.83	4.5	8.9667		28.0	1100001.0					2008.0	10	57	26.0
"BGR"	"Bulgaria"	"ER"	"Euroroma"	"Evroroma"	"Evroroma"	"spec"	"Special issue"													10	2178	16.0
"BGR"	"Bulgaria"	"FTB"	"Kingdom of Bulgaria Confederation"	"Federatsiya Tsarstvo Balgariya "	"Federatsiya Tsarstvo Balgariya"	"spec"	"Special issue"													10	800	16.0
"BGR"	"Bulgaria"	"GERB"	"Citizens for European Development of Bulgaria"	"Grazhdani za Evropeysko Razvitie na Balgariya"	"Grazhdani za Evropeysko Razvitie na Balgariya"	"con"	"Conservative"	7.4	6.4	6.9	7.8		29.0	1100600.0					2010.0	10	1541	26.0
"BGR"	"Bulgaria"	"GN"	"People's Voice"	"Glas Naroden"	"Glas Naroden"	"spec"	"Special issue"													10	2214	16.0
"BGR"	"Bulgaria"	"KPB"	"Communist Party of Bulgaria"	"Komunisticheska Partiya na Balgariya"	"Komunisticheska Partiya na Balgariya"	"com"	"Communist/Socialist"	0.3684	1.7368	7.8289	2.8655					701.0		763.0		10	1570	14.0
"BGR"	"Bulgaria"	"KR"	"Coalition of the Rose"	"Koalitsiya na Rozata"	"Koalitsiya na Rozata"	"soc"	"Social democracy"	3.3	3.5	3.5	8.1									10	2179	11.0
"BGR"	"Bulgaria"	"KSII"	"Simeon II Coalition"	"Koalitsiya Simeon II"	"Koalitsiya Simeon II"	"spec"	"Special issue"	6.86	6.29	6.33	7.7833								2006.0	10	15	16.0
"BGR"	"Bulgaria"	"KzB|DL"	"Coalition for Bulgaria | Democratic Left"	"Koalitsiya za Balgariya | Demokratichna Levitsa"	"Koalitsiya za Balgariya | Demokratichna Levitsa"	"soc"	"Social democracy"	2.8982	2.9629	5.7410000000000005	8.6402	80221.0		1100300.0		702.0		841.0	2003.0	10	1160	11.0
"BGR"	"Bulgaria"	"Lider"	"Lider"	"Lider"	"Lider"	"lib"	"Liberal"	6.0	6.7	3.5	8.8								2011.0	10	566	6.0
"BGR"	"Bulgaria"	"NDSV"	"National Movement Simeon II"	"Natsionalno Dvizhenie Simeon Vtori"	"Natsionalno Dvizhenie Simeon Vtori"	"lib"	"Liberal"	5.7567	5.8948	4.008	9.3468	80902.0	32.0	1100400.0				946.0	2001.0	10	544	6.0
"BGR"	"Bulgaria"	"NFSB"	"National Front for the Salvation of Bulgaria"	"Natsionalen Front za Spasenie na Balgariya"	"Natsionalen Front za Spasenie na Balgariya"	"right"	"Right-wing"	8.7	5.9	8.6	2.4									10	2211	40.0
"BGR"	"Bulgaria"	"NV"	"New Times"	"Novoto vreme"	"Novoto vreme"	"eco"	"Green/Ecologist"	2.5	2.5	1.8	6.5									10	2180	19.0
"BGR"	"Bulgaria"	"ODS"	"United Democratic Forces"	"Obedineni Demokratichni Sili"	"Obedineni Demokratichni Sili"	"con"	"Conservative"	6.9611	6.917000000000001	3.8431	9.7427	80411.0				706.0		972.0	2002.0	10	784	26.0
"BGR"	"Bulgaria"	"ONS"	"Union for National Salvation"	"Obedinenie za Natsionalno Spasenie"	"Obedinenie za Natsionalno Spasenie"	"lib"	"Liberal"	6.0	6.7	3.5	8.8	80952.0								10	996	6.0
"BGR"	"Bulgaria"	"OT-SII"	"Union for Tzar [Simeon II]"	"Obedinenie za Tsar [Simeon II]"	"Obedinenie za Tsar [Simeon II]"	"spec"	"Special issue"													10	1149	16.0
"BGR"	"Bulgaria"	"PBSD"	"Party of Bulgarian Social Democrats"	"Partiya Balgarski Sotsialdemokrati"	"Partiya Balgarski Sotsialdemokrati"	"soc"	"Social democracy"	3.7778	4.6316	3.4211	9.0					703.0		815.0		10	1161	11.0
"BGR"	"Bulgaria"	"PS"	"Patriotic Union"	"Patriotichen Suyuz"	"Patriotichen Suyuz"	"con"	"Conservative"	7.4	6.4	6.9	7.8									10	2177	26.0
"BGR"	"Bulgaria"	"RB"	"Reformist Bloc"	"Reformatorski Blok"	"Reformatorski Blok"	"con"	"Conservative"	7.4	6.4	6.9	7.8									10	2363	26.0
"BGR"	"Bulgaria"	"RZS"	"Order, Lawfulness and Justice"	"Red, zakonnost i spravedlivost"	"Red, zakonnost i spravedlivost"	"right"	"Right-wing"	8.7	5.9	8.6	2.4			1100601.0					2012.0	10	636	40.0
"BGR"	"Bulgaria"	"SDS"	"Union of Democratic Forces"	"Suyuz na Demokratichnite Sili"	"Suyuz na Demokratichnite Sili"	"chr"	"Christian democracy"	6.1111	5.7	7.2	8.3	80410.0	33.0			707.0				10	423	3.0
"BGR"	"Bulgaria"	"SDS-l"	"Union of Democratic Forces -- Liberal"	"Suyuz na Demokratichnite Sili – Liberali"	"Suyuz na Demokratichnite Sili -- Liberali"	"lib"	"Liberal"	6.0	6.7	3.5	8.8									10	2175	6.0
"BGR"	"Bulgaria"	"SDS-ts"	"Union of Democratic Forces -- Centre"	"Suyuz na Demokratichnite Sili – Tsentur"	"Suyuz na Demokratichnite Sili -- Tsentur"	"soc"	"Social democracy"	3.3	3.5	3.5	8.1									10	2174	11.0
"BGR"	"Bulgaria"	"SK"	"Blue Coalition"	"Sinyata Koalitsiya"	"Sinyata Koalitsiya"	"con"	"Conservative"	7.4	6.4	6.9	7.8			1100001.0						10	1254	26.0
"BGR"	"Bulgaria"	"SNI"	"\"\"New Choice\"\" Union"	"Suyuz \"\"Nov izbor\"\""	"Suyuz \"\"Nov izbor\"\""	"lib"	"Liberal"	6.0	6.7	3.5	8.8									10	2176	6.0
"BGR"	"Bulgaria"	"VMRO"	"IMRO -- Bulgarian National Movement"	"VMRO – Balgarsko Natsionalno Dvizhenie"	"VMRO -- Balgarsko Natsionalno Dvizhenie"	"right"	"Right-wing"	8.7	5.9	8.6	2.4									10	2212	40.0
"BGR"	"Bulgaria"	"ZNS"	"Agrarian People's Union"	"Zemedelski Naroden Suyuz"	"Zemedelski Naroden Suyuz"	"agr"	"Agrarian"	5.5263	5.7895	5.9398	8.9474	80810.0				704.0		867.0		10	353	2.0
"BGR"	"Bulgaria"	"none"	"no party affiliation"	"no party affiliation"	"no party affiliation"	"none"	"no family"													10	133	12.0
"CAN"	"Canada"	"BPC"	"Bloc Populaire Canadien"	"Bloc Populaire Canadien"	"Bloc Populaire Canadien"	"spec"	"Special issue"													29	1307	16.0
"CAN"	"Canada"	"BQ"	"Quebec Bloc"	"Bloc Québécois"	"Bloc Quebecois"	"soc"	"Social democracy"	3.0215	3.1207	2.2063	8.1	62901.0				802.0		5213.0		29	448	11.0
"CAN"	"Canada"	"CPC"	"Conservative Party of Canada"	"Conservative Party of Canada"	"Conservative Party of Canada"	"con"	"Conservative"	8.6608	8.7668	9.0688	7.8							5233.0		29	1255	26.0
"CAN"	"Canada"	"CP|LPP"	"Communist (Labour-Progressive) Party"	"Communist (Labour-Progressive) Party"	"Communist (Labour-Progressive) Party"	"com"	"Communist/Socialist"	1.3	1.4	3.0	3.3									29	556	14.0
